R9BHB  LON,LAT,size  -62.163777351379395 -38.71608853340149 1949
692.276613 691.3593600761864 -1024 -168.61343992376916 274.1518771440784
692.277655 691.3604020761863 -1280 -168.86943992376916 273.89587714407844
692.277821 691.3605680761864 -1536 -169.12543992376916 273.6398771440784
692.27853 691.3612770761864 -2000 -169.58943992376916 273.1758771440784
692.279446 691.3621930761864 -1536 -169.12543992376916 273.6398771440784
692.280238 691.3629850761864 -1280 -168.86943992376916 273.89587714407844
692.280405 691.3631520761863 -1024 -168.61343992376916 274.1518771440784
692.28053 691.3632770761864 -768 -168.35743992376916 274.40787714407844
692.282738 691.3654850761864 768 -166.82143992376916 275.9438771440784
692.282863 691.3656100761864 896 -166.69343992376918 276.0718771440784
692.283988 691.3667350761864 1024 -166.56543992376916 276.1998771440784
692.284196 691.3669430761863 1280 -166.30943992376916 276.4558771440784
692.284363 691.3671100761863 1536 -166.05343992376916 276.7118771440784
692.284655 691.3674020761864 1792 -165.79743992376916 276.9678771440784
692.286321 691.3690680761864 2048 -165.54143992376916 277.2238771440784
692.288155 691.3709020761863 2872 -164.71743992376918 278.0478771440784
692.29053 691.3732770761864 2560 -165.02943992376916 277.7358771440784
692.292155 691.3749020761863 2048 -165.54143992376916 277.2238771440784
692.292363 691.3751100761864 1792 -165.79743992376916 276.9678771440784
692.29278 691.3755270761864 1536 -166.05343992376916 276.7118771440784
692.294071 691.3768180761864 1280 -166.30943992376916 276.4558771440784
692.29428 691.3770270761863 1024 -166.56543992376916 276.1998771440784
692.295863 691.3786100761864 896 -166.69343992376918 276.0718771440784
692.308113 691.3908600761864 -935 -168.52443992376917 274.2408771440784
692.308196 691.3909430761863 -1024 -168.61343992376916 274.1518771440784
