R9PLT  LON,LAT,size  -57.89565324783325 -34.96598482131958 1500
339.223603 338.3623622806128 896 100.47396841246756 259.26821581617696
339.223853 338.3626122806128 734 100.31196841246755 259.1062158161769
346.224267 345.36302628061276 651 100.22896841246755 259.02321581617696
346.225392 345.36415128061276 826 100.40396841246755 259.19821581617697
346.225975 345.36473428061277 728 100.30596841246755 259.10021581617696
349.541016 348.6797752806128 650 100.22796841246756 259.0222158161769
349.541266 348.68002528061277 768 100.34596841246756 259.1402158161769
349.541516 348.68027528061276 896 100.47396841246756 259.26821581617696
349.542391 348.68115028061277 1132 100.70996841246756 259.50421581617695
349.543141 348.68190028061275 1024 100.60196841246756 259.39621581617695
349.543349 348.68210828061274 896 100.47396841246756 259.26821581617696
349.543557 348.6823162806128 724 100.30196841246756 259.09621581617694
362.808094 361.94685328061274 642 100.21996841246755 259.01421581617694
362.808635 361.94739428061274 884 100.46196841246756 259.25621581617696
362.809385 361.9481442806128 768 100.34596841246756 259.1402158161769
383.373211 382.5119702806128 -650 98.92796841246755 257.72221581617697
383.373503 382.5122622806128 -768 98.80996841246755 257.604215816177
383.374044 382.5128032806128 -988 98.58996841246756 257.38421581617695
383.374628 382.51338728061273 -768 98.80996841246755 257.604215816177
383.374836 382.5135952806128 -602 98.97596841246755 257.770215816177
401.142829 400.28158828061277 -650 98.92796841246755 257.72221581617697
401.143371 400.28213028061276 -776 98.80196841246756 257.59621581617694
401.144037 400.2827962806128 -740 98.83796841246756 257.63221581617694
407.149827 406.2885862806128 -669 98.90896841246756 257.70321581617696
407.149993 406.28875228061275 -768 98.80996841246755 257.604215816177
407.150368 406.2891272806128 -898 98.67996841246756 257.4742158161769
407.150785 406.28954428061274 -768 98.80996841246755 257.604215816177
407.151035 406.28979428061274 -590 98.98796841246755 257.782215816177
407.153952 406.29271128061276 -752 98.82596841246756 257.62021581617694
407.154785 406.29354428061276 -640 98.93796841246755 257.73221581617696
407.15916 406.29791928061275 515 100.09296841246756 258.88721581617693
407.16016 406.2989192806128 744 100.32196841246756 259.116215816177
407.162702 406.3014612806128 640 100.21796841246756 259.01221581617693
419.464155 418.60291428061277 -521 99.05696841246755 257.85121581617693
419.464655 418.60341428061275 -660 98.91796841246756 257.7122158161769
419.465697 418.60445628061274 -640 98.93796841246755 257.73221581617696
433.177608 432.3163672806128 526 100.10396841246755 258.89821581617696
433.178317 432.31707628061275 686 100.26396841246756 259.0582158161769
433.180067 432.31882628061277 507 100.08496841246756 258.87921581617695
