R9PLT  LON,LAT,size  -57.89565324783325 -34.96598482131958 1697
819.712044 818.7345786484989 -1024 98.03968735956981 292.2156054503256
819.712252 818.7347866484989 -768 98.29568735956981 292.4716054503256
819.71246 818.7349946484989 -640 98.42368735956981 292.5996054503256
819.712669 818.7352036484989 -466 98.59768735956982 292.7736054503256
819.749835 818.7723696484989 -516 98.5476873595698 292.7236054503256
819.75021 818.7727446484989 -640 98.42368735956981 292.5996054503256
819.750544 818.7730786484989 -768 98.29568735956981 292.4716054503256
819.751294 818.7738286484989 -996 98.06768735956982 292.2436054503256
819.752002 818.7745366484988 -768 98.29568735956981 292.4716054503256
819.75246 818.7749946484989 -640 98.42368735956981 292.5996054503256
819.753377 818.7759116484989 -512 98.55168735956981 292.7276054503256
819.759044 818.7815786484989 518 99.58168735956981 293.75760545032557
819.760919 818.7834536484988 660 99.72368735956981 293.8996054503256
819.761627 818.7841616484989 640 99.70368735956981 293.8796054503256
819.794877 818.8174116484989 -640 98.42368735956981 292.5996054503256
819.795585 818.8181196484989 -786 98.27768735956981 292.4536054503256
819.796169 818.8187036484989 -439 98.62468735956982 292.8006054503256
819.808627 818.8311616484989 -521 98.54268735956981 292.7186054503256
819.80921 818.8317446484989 -686 98.3776873595698 292.5536054503256
819.80971 818.8322446484989 -632 98.4316873595698 292.6076054503256
819.86146 818.8839946484989 -513 98.5506873595698 292.7266054503256
819.861669 818.8842036484989 -640 98.42368735956981 292.5996054503256
819.861877 818.8844116484989 -768 98.29568735956981 292.4716054503256
819.862085 818.8846196484989 -896 98.16768735956981 292.3436054503256
819.862294 818.8848286484989 -1024 98.03968735956981 292.2156054503256
819.863377 818.8859116484989 -1412 97.6516873595698 291.8276054503256
819.864044 818.8865786484989 -1280 97.78368735956981 291.9596054503256
819.864127 818.886661648499 -1024 98.03968735956981 292.2156054503256
819.86421 818.8867446484988 -768 98.29568735956981 292.4716054503256
819.864294 818.8868286484989 -640 98.42368735956981 292.5996054503256
819.864419 818.8869536484989 -488 98.57568735956981 292.7516054503256
819.885294 818.9078286484989 -535 98.52868735956982 292.7046054503256
819.885419 818.9079536484988 -640 98.42368735956981 292.5996054503256
819.885585 818.9081196484989 -768 98.29568735956981 292.4716054503256
819.886044 818.9085786484989 -978 98.08568735956982 292.2616054503256
819.886877 818.9094116484989 -768 98.29568735956981 292.4716054503256
819.887169 818.9097036484989 -640 98.42368735956981 292.5996054503256
819.887335 818.9098696484989 -488 98.57568735956981 292.7516054503256
819.956669 818.9792036484989 -513 98.5506873595698 292.7266054503256
819.95696 818.9794946484989 -640 98.42368735956981 292.5996054503256
819.958044 818.9805786484989 -892 98.17168735956982 292.3476054503256
819.958627 818.9811616484989 -768 98.29568735956981 292.4716054503256
819.958835 818.9813696484989 -604 98.45968735956981 292.6356054503256
819.960169 818.9827036484988 -537 98.5266873595698 292.7026054503256
